Loads;Heating;Cooling
Q_opaque;2407.28367694;1071.44121901
Q_windows;1679.1336;2367.91130702
Q_below;0.0;0.0
Q_internalGain;0.0;540.8
Q_infiltVentilation;2294.7427104;427.3497732
Q_distribLosses;1020.0;1190.0
Q_sensible_tot;7401.15998734;5597.50229923
Q_latent;0.0;610.200308641
