Loads;Heating;Cooling
Q_opaque;2612.54944596;1167.34750677
Q_windows;1269.7848;1848.94495772
Q_below;0.0;0.0
Q_internalGain;0.0;540.8
Q_infiltVentilation;2294.7427104;427.3497732
Q_distribLosses;988.0;1075.0
Q_sensible_tot;7165.07695636;5059.44223769
Q_latent;0.0;610.200308641
